11,,,,,,,,
Public,,,,,,,,
Private,,,,,,,,
Unverified ,,,,,,,,
,,,,,,,,
ULT_DUNS_NBR,ULT_SUPPLIER_NM,Revenue,SG&A,EBIT,SG&A %,Profit %,SG&A & P,OEM(s)
832460484,VAPOR ACQUISITION CORP,,,,,,0.00%,"General Motors, Ford, Stellantis, Volkswagen, Toyota, Mercedes, BMW, Hyundai"
118854852,ANGSTROM 2022 NOVEMBER HOLDINGS LLC,,,,,,0.00%,
787068209,MAYCO INTERNATIONAL LLC,,,,,,0.00%,
1024314,BERKSHIRE HATHAWAY INC,"400,548,000,000","37,763,000,000","87,239,000,000",8.80%,21.78%,30.58%,"Toyota, Ford, General Motors, Honda, Hyundai, Mercedes"
383351012,ELECTRICFIL,,,,,,0.00%,
5334412,TOMPKINS PRODUCTS INC,,,,,,0.00%,
315762786,WOCO GMBH & CO KG,,,,,,0.00%,
874232465,MIDWAY PRODUCTS GROUP INC,,,,,,0.00%,
484451778,ARTEMIS HOLDING AG,,,,,,0.00%,
420859670,NINGBO HUAXIANG ELECTRONIC CO LTD,"3,780,707,586.21","177,150,344.83","318,466,206.90",1.73%,3.54%,5.27%,"Volkswagen, BMW, Mercedes, Volvo, General Motors, Ford, Tesla, Toyota, Nissan"
664766919,HASCO INTERNATIONAL LIMITED,,,,,,0.00%,
687784926,HYUNDAI WIA CORP,"5,997,965,926","149,670,370","143,508,889",0.63%,3.31%,3.94%,"Hyundai, Kia, General Motors, Renault, Nissan, Volkswagen, Mitsubishi"
836207647,EAGLE INDUSTRIES INC,,,,,,0.00%,
243694044,MLTH HOLDING INC,,,,,,0.00%,
316083968,POPPE-VERITAS HOLDING GMBH & CO KG,,,,,,0.00%,
79880145,JR HENDRICK III MOTOR SPORTS TRUST,,,,,,0.00%,
551161818,JOH WINKHOFER BETEILGUNGS GMBH & CO,,,,,,0.00%,
4469011,ARTIFLEX MANUFACTURING LLC,,,,,,0.00%,
315000554,BASF SE,"64,863,510,000","9,756,640,000","3,230,410,000",15.90%,3.01%,18.91%,"Mercedes, Volkswagen, Toyota, Tesla"
832842350,FILTRAN HOLDINGS LLC,,,,,,0.00%,
315894071,BRUSS SEALING SYSTEMS GMBH,,,,,,0.00%,
330100736,ORAFOL KLEBETECHNIK GMBH,,,,,,0.00%,
80062565,DEL WEST ENGINEERING INC,,,,,,0.00%,
434677272,ELETTRA 1938 SPA,,,,,,0.00%,
789510377,PARAGON METALS LLC,,,,,,0.00%,
313584078,HANS HERMANN VOSS STIFTUNG,,,,,,0.00%,
319987897,BOS GMBH & CO KG,,,,,,0.00%,
128894909,HOPE VALLEY INDUSTRIES LLC,,,,,,0.00%,
690591201,USUI CO LTD,,,,,,0.00%,
116917284,TRUCK HOLDINGS INC,,,,,,0.00%,
243298546,1000201400 ONTARIO CORP,,,,,,0.00%,
690535018,KOBE STEEL LTD,"16,586,146,667",,"957,220,000",,6.20%,6.20%,"Toyota, Nissan, Honda, Mazda, Subaru, General Motors, Ford, Tesla"
184813434,KOJAIAN MANAGEMENT CORP,,,,,,0.00%,
827742300,KONGSBERG HOLDING I INC,,,,,,0.00%,
65609430,MICHIGAN PRODUCTION MACHINING INC,,,,,,0.00%,
421294910,LIZHONG SITONG LIGHT ALLOYS GROUP,,,,,,0.00%,
6520134,BURKLAND INC,,,,,,0.00%,
687776302,DONG YANG PISTON CO LTD,,,,,,0.00%,
415096549,ORHAN NETHERLANDS COOPERATIEF UA,,,,,,0.00%,
48077101,ALBAR INDUSTRIES INC,,,,,,0.00%,
91956714,DELACO STEEL CORP,,,,,,0.00%,
603209722,"ELECTRO PRIME GROUP LLC, THE",,,,,,0.00%,
52859246,METAL POWDER PRODUCTS LLC,,,,,,0.00%,
690688445,YASUNAGA CORP,,,,,,0.00%,
317131779,ROECHLING SE & CO KG,,,,,,0.00%,
18655537,EXODUS DIRECT LLC,,,,,,0.00%,
690546460,MITSUBISHI CORP,,,,,,0.00%,
790441682,HARCO MANUFACTURING GROUP LLC,,,,,,0.00%,
316546092,HENGST SE & CO KG,,,,,,0.00%,
243569493,TRIPLE M METAL LP,,,,,,0.00%,
80769476,UNIQUE FABRICATING INC,,,,,,0.00%,
209008747,AUTOTUBE LTD,,,,,,0.00%,
315149856,A KAYSER GMBH & CO KG TEXTILE FILTE,,,,,,0.00%,
20837233,DAJACO INDUSTRIES INC,,,,,,0.00%,
431429915,AGRATI HOLDING SPA,,,,,,0.00%,
